StartChargeSeq,TradeFlowNo,ConnectorID,StartTime,EndTime,TotalPower,TotalElecMoney,OriginSeviceMoney,TotalSeviceMoney,TotalMoney,StopReason,SumPeriod,ChargeDetails
341803223202308020154410001	,00605020101100000000271502169091248128	,006300925000002715002	,2023-08-02 01:54:42	,2023-08-02 03:04:14	,42.4600,15.9800,8.3700,8.3700,24.3500,,0,[],
341803223202308020243270001	,02005020101100000000093302169091540820	,001260945000000933002	,2023-08-02 02:43:24	,2023-08-02 03:12:59	,24.4900,8.5700,11.0200,11.0200,19.5900,,0,[],
341803223202308020305270001	,31101900000016120023080230972525	,3110190000001612001	,2023-08-02 03:05:28	,2023-08-02 03:15:38	,9.5800,3.0200,5.7500,5.7500,8.7700,,0,[],
341803223202308020248060001	,31401900000003020023080203580617	,3140190000000302001	,2023-08-02 02:48:08	,2023-08-02 03:33:47	,25.0900,7.9100,7.5300,7.5300,15.4400,,0,[],
341803223202308020257500001	,31401900000009430023080202882582	,3140190000000943001	,2023-08-02 02:57:52	,2023-08-02 03:36:29	,19.0500,6.0100,7.6200,7.6200,13.6300,,0,[],
341803223202308020223200001	,31401900000008990023080201360108	,3140190000000899001	,2023-08-02 02:24:08	,2023-08-02 03:48:51	,42.3900,13.3700,16.9600,16.9600,30.3300,,0,[],
341803223202308020332550001	,33405900000003500023080278511456	,3340590000000350001	,2023-08-02 03:30:46	,2023-08-02 03:57:48	,19.6200,6.2000,3.6100,3.6100,9.8100,,0,[],
341803223202308020350140001	,31401900000002960023080201534443	,3140190000000296001	,2023-08-02 03:50:16	,2023-08-02 04:03:39	,3.8800,1.2200,1.1600,1.1600,2.3800,,0,[],
341803223202308020419350001	,35402900000003260023080291683885	,3540290000000326001	,2023-08-02 04:19:38	,2023-08-02 04:25:03	,0.0100,0.0000,0.0000,0.0000,0.0000,,0,[],
341803223202308020332370001	,31401900000003070023080206035501	,3140190000000307001	,2023-08-02 03:32:28	,2023-08-02 04:35:12	,41.0700,12.9500,12.3200,12.3200,25.2700,,0,[],
341803223202308020524280001	,02005020101100000000279402169092506856	,009081443000002794002	,2023-08-02 05:24:29	,2023-08-02 05:24:29	,0.0000,0.0000,0.0000,0.0000,0.0000,,0,[],
341803223202308020424210001	,42401900000005860023080283512427	,4240190000000586001	,2023-08-02 04:24:21	,2023-08-02 05:27:28	,27.0100,9.1600,6.7500,6.7500,15.9100,,0,[],
341803223202308020518380001	,88601900000010420023080239885580	,8860190000001042001	,2023-08-02 05:16:30	,2023-08-02 05:25:40	,8.5600,3.2500,4.3700,4.3700,7.6200,,0,[],
341803223202308020515260001	,31101900000015840023080209854754	,3110190000001584001	,2023-08-02 05:15:27	,2023-08-02 05:35:22	,11.5900,3.6500,5.8000,5.8000,9.4500,,0,[],
341803223202308020527170001	,12426900000047300023080257018311	,1242690000004730001	,2023-08-02 05:27:05	,2023-08-02 05:50:55	,18.7000,7.3800,6.5500,6.5500,13.9300,,0,[],
341803223202308020526010001	,02005020101100000000279401169092516188	,009081443000002794001	,2023-08-02 05:26:28	,2023-08-02 05:54:44	,11.6050,4.2900,3.4800,3.4800,7.7700,,0,[],
341803223202308020419050001	,88306900000008840023080227506731	,8830690000000884001	,2023-08-02 04:18:57	,2023-08-02 06:01:29	,47.7100,16.9000,14.3100,14.3100,31.2100,,0,[],
341803223202308020527140001	,31101900000013740023080237630228	,3110190000001374001	,2023-08-02 05:27:14	,2023-08-02 06:03:53	,11.8600,3.9400,5.3400,5.3400,9.2800,,0,[],
341803223202308020547020001	,33405900000003600023080298962874	,3340590000000360001	,2023-08-02 05:46:31	,2023-08-02 06:18:38	,26.4200,8.3500,4.8600,4.8600,13.2100,,0,[],
341803223202308020446380001	,35402900000000300023080226789597	,3540290000000030001	,2023-08-02 04:46:37	,2023-08-02 06:23:35	,39.1100,15.3500,14.4700,14.4700,29.8200,,0,[],
341803223202308020630490001	,88701900000020140223080214400688	,8870190000002014002	,2023-08-02 06:30:50	,2023-08-02 06:39:59	,7.9200,2.8300,1.9800,1.9800,4.8100,,0,[],
341803223202308020409180001	,88306900000048320123080214536061	,8830690000004832001	,2023-08-02 04:09:18	,2023-08-02 06:39:59	,14.1700,5.5100,4.2500,4.2500,9.7600,,0,[],
341803223202308020606250001	,12426900000070700123080205315076	,1242690000007070001	,2023-08-02 06:06:25	,2023-08-02 06:41:09	,22.9500,9.0500,9.1800,9.1800,18.2300,,0,[],
341803223202308020645090001	,12426900000070270223080204243191	,1242690000007027002	,2023-08-02 06:45:10	,2023-08-02 06:45:40	,0.0000,0.0000,0.0000,0.0000,0.0000,,0,[],
341803223202308020543340001	,41401900000001470023080284392183	,4140190000000147001	,2023-08-02 05:42:25	,2023-08-02 06:45:03	,22.5400,8.5300,5.6400,5.6400,14.1700,,0,[],
341803223202308020646170001	,12426900000070270123080204254338	,1242690000007027001	,2023-08-02 06:46:18	,2023-08-02 06:46:45	,0.0000,0.0000,0.0000,0.0000,0.0000,,0,[],
341803223202308020620230001	,33405900000003620023080277508242	,3340590000000362001	,2023-08-02 06:18:42	,2023-08-02 06:45:30	,10.2400,3.2400,1.8800,1.8800,5.1200,,0,[],
341803223202308020648220001	,33401900000012280023080206223908	,3340190000001228001	,2023-08-02 06:48:25	,2023-08-02 06:49:55	,0.0000,0.0000,0.0000,0.0000,0.0000,,0,[],
341803223202308020605000001	,08705020101100000003195704169092749462	,011071419000031957004	,2023-08-02 06:04:45	,2023-08-02 06:50:09	,32.7470,11.5400,8.1900,8.1900,19.7300,,0,[],
341803223202308020617260001	,08705020101100000002718802169092824053	,007121817000027188002	,2023-08-02 06:17:45	,2023-08-02 06:53:01	,9.2440,3.1400,2.3100,2.3100,5.4500,,0,[],
341803223202308020629350001	,33405900000004560023080211770133	,3340590000000456001	,2023-08-02 06:30:11	,2023-08-02 06:56:56	,3.9900,1.2600,0.9300,0.9300,2.1900,,0,[],
341803223202308020613060001	,51431900000000430023080285769490	,5143190000000043001	,2023-08-02 06:13:08	,2023-08-02 06:57:15	,17.9600,4.8600,7.1800,7.1800,12.0400,,0,[],
341803223202308020520390001	,31401900000053250023080205805440	,3140190000005325001	,2023-08-02 05:21:00	,2023-08-02 06:57:41	,16.4700,9.5100,9.8800,9.8800,19.3900,,0,[],
